query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_pages,route_intent,route_confidence,gold_exists,gold_chunk_count,gold_pages_found,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_22_FIN_01,FIN,22,1,1,number,Shetland-2021-2022,,[6],table_metric_financial_statements,0.8,True,2,[6],missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[62],['Shetland-2021-2022:p0062_002'],['Shetland-2021-2022']
Q_22_FIN_01,FIN,22,1,3,number,Shetland-2021-2022,,[6],table_metric_financial_statements,0.8,True,2,[6],hit,0,0.0,[],1.0,0.5,0.5,1.0,0.3333333333333333,0.5,"[62, 6]","['Shetland-2021-2022:p0062_002', 'Shetland-2021-2022:p0006_000', 'Shetland-2021-2022:p0062_000']","['Shetland-2021-2022', 'Shetland-2021-2022', 'Shetland-2021-2022']"
Q_22_FIN_01,FIN,22,1,5,number,Shetland-2021-2022,,[6],table_metric_financial_statements,0.8,True,2,[6],hit,0,0.0,[],1.0,0.3333333333333333,0.5,1.0,0.4,0.5,"[62, 6, 135]","['Shetland-2021-2022:p0062_002', 'Shetland-2021-2022:p0006_000', 'Shetland-2021-2022:p0062_000', 'Shetland-2021-2022:p0135_000', 'Shetland-2021-2022:p0006_001']","['Shetland-2021-2022', 'Shetland-2021-2022', 'Shetland-2021-2022', 'Shetland-2021-2022', 'Shetland-2021-2022']"
Q_22_FIN_01,FIN,22,1,10,number,Shetland-2021-2022,,[6],table_metric_financial_statements,0.8,True,2,[6],hit,0,0.0,[],1.0,0.125,0.5,1.0,0.2,0.5,"[62, 6, 135, 93, 2, 66, 21, 16]","['Shetland-2021-2022:p0062_002', 'Shetland-2021-2022:p0006_000', 'Shetland-2021-2022:p0062_000', 'Shetland-2021-2022:p0135_000', 'Shetland-2021-2022:p0006_001']","['Shetland-2021-2022', 'Shetland-2021-2022', 'Shetland-2021-2022', 'Shetland-2021-2022', 'Shetland-2021-2022']"
Q_22_STF_01,STF,22,1,1,number,Shetland-2021-2022,,[70],unknown,0.5,True,1,[70],missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[5],['Shetland-2021-2022:p0005_003'],['Shetland-2021-2022']
Q_22_STF_01,STF,22,1,3,number,Shetland-2021-2022,,[70],unknown,0.5,True,1,[70],missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,"[5, 4]","['Shetland-2021-2022:p0005_003', 'Shetland-2021-2022:p0005_002', 'Shetland-2021-2022:p0004_000']","['Shetland-2021-2022', 'Shetland-2021-2022', 'Shetland-2021-2022']"
Q_22_STF_01,STF,22,1,5,number,Shetland-2021-2022,,[70],unknown,0.5,True,1,[70],hit,0,0.0,[],1.0,0.25,0.25,1.0,0.2,0.2,"[5, 4, 6, 70]","['Shetland-2021-2022:p0005_003', 'Shetland-2021-2022:p0005_002', 'Shetland-2021-2022:p0004_000', 'Shetland-2021-2022:p0006_001', 'Shetland-2021-2022:p0070_000']","['Shetland-2021-2022', 'Shetland-2021-2022', 'Shetland-2021-2022', 'Shetland-2021-2022', 'Shetland-2021-2022']"
Q_22_STF_01,STF,22,1,10,number,Shetland-2021-2022,,[70],unknown,0.5,True,1,[70],hit,0,0.0,[],1.0,0.14285714285714285,0.25,1.0,0.1,0.2,"[5, 4, 6, 70, 62, 17, 11]","['Shetland-2021-2022:p0005_003', 'Shetland-2021-2022:p0005_002', 'Shetland-2021-2022:p0004_000', 'Shetland-2021-2022:p0006_001', 'Shetland-2021-2022:p0070_000']","['Shetland-2021-2022', 'Shetland-2021-2022', 'Shetland-2021-2022', 'Shetland-2021-2022', 'Shetland-2021-2022']"
Q_22_STF_03,STF,22,3,1,number,Shetland-2021-2022,,[16],table_metric_performance,0.8,True,3,[16],hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[16],['Shetland-2021-2022:p0016_000'],['Shetland-2021-2022']
Q_22_STF_03,STF,22,3,3,number,Shetland-2021-2022,,[16],table_metric_performance,0.8,True,3,[16],hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,"[16, 26]","['Shetland-2021-2022:p0016_000', 'Shetland-2021-2022:p0016_001', 'Shetland-2021-2022:p0026_000']","['Shetland-2021-2022', 'Shetland-2021-2022', 'Shetland-2021-2022']"
