query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_subsection,expected_pages,evidence_layout,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_EFF_2024_01,EFF,2024,1,1,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,"[11, 12]",table,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[12],['Grampian-2024-2025:p0012_000'],['Grampian-2024-2025']
Q_EFF_2024_01,EFF,2024,1,3,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,"[11, 12]",table,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,"[12, 11]","['Grampian-2024-2025:p0012_000', 'Grampian-2024-2025:p0011_001', 'Grampian-2024-2025:p0012_001']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_EFF_2024_01,EFF,2024,1,5,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,"[11, 12]",table,hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6,1.0,"[12, 11, 13, 15]","['Grampian-2024-2025:p0012_000', 'Grampian-2024-2025:p0011_001', 'Grampian-2024-2025:p0012_001', 'Grampian-2024-2025:p0013_000', 'Grampian-2024-2025:p0015_000']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_EFF_2024_01,EFF,2024,1,10,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,"[11, 12]",table,hit,0,0.0,[],1.0,0.2222222222222222,1.0,1.0,0.3,1.0,"[12, 11, 13, 15, 62, 14, 16, 170, 7]","['Grampian-2024-2025:p0012_000', 'Grampian-2024-2025:p0011_001', 'Grampian-2024-2025:p0012_001', 'Grampian-2024-2025:p0013_000', 'Grampian-2024-2025:p0015_000']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_EFF_2024_02,EFF,2024,2,1,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,"[11, 12]",table,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[12],['Grampian-2024-2025:p0012_000'],['Grampian-2024-2025']
Q_EFF_2024_02,EFF,2024,2,3,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,"[11, 12]",table,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,"[12, 11]","['Grampian-2024-2025:p0012_000', 'Grampian-2024-2025:p0011_001', 'Grampian-2024-2025:p0012_001']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_EFF_2024_02,EFF,2024,2,5,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,"[11, 12]",table,hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6,1.0,"[12, 11, 13, 16]","['Grampian-2024-2025:p0012_000', 'Grampian-2024-2025:p0011_001', 'Grampian-2024-2025:p0012_001', 'Grampian-2024-2025:p0013_000', 'Grampian-2024-2025:p0016_001']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_EFF_2024_02,EFF,2024,2,10,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,"[11, 12]",table,hit,0,0.0,[],1.0,0.25,1.0,1.0,0.4,1.0,"[12, 11, 13, 16, 170, 46, 158, 20]","['Grampian-2024-2025:p0012_000', 'Grampian-2024-2025:p0011_001', 'Grampian-2024-2025:p0012_001', 'Grampian-2024-2025:p0013_000', 'Grampian-2024-2025:p0016_001']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_EFF_2024_03,EFF,2024,3,1,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,"[11, 12]",table,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[12],['Grampian-2024-2025:p0012_000'],['Grampian-2024-2025']
Q_EFF_2024_03,EFF,2024,3,3,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,"[11, 12]",table,hit,0,0.0,[],1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,"[12, 11, 62]","['Grampian-2024-2025:p0012_000', 'Grampian-2024-2025:p0011_001', 'Grampian-2024-2025:p0062_000']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_EFF_2024_03,EFF,2024,3,5,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,"[11, 12]",table,hit,0,0.0,[],1.0,0.4,1.0,1.0,0.4,1.0,"[12, 11, 62, 7, 43]","['Grampian-2024-2025:p0012_000', 'Grampian-2024-2025:p0011_001', 'Grampian-2024-2025:p0062_000', 'Grampian-2024-2025:p0007_000', 'Grampian-2024-2025:p0043_000']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
Q_EFF_2024_03,EFF,2024,3,10,number,Grampian-2024-2025,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,"[11, 12]",table,hit,0,0.0,[],1.0,0.25,1.0,1.0,0.4,1.0,"[12, 11, 62, 7, 43, 27, 46, 72]","['Grampian-2024-2025:p0012_000', 'Grampian-2024-2025:p0011_001', 'Grampian-2024-2025:p0062_000', 'Grampian-2024-2025:p0007_000', 'Grampian-2024-2025:p0043_000']","['Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025', 'Grampian-2024-2025']"
