query_id,k,answer_type,num_variants,expected_pages,recall_at_k,precision_at_k,mrr_at_k,top_pages
Q_2022_FIN_01,1,number,1,[21],1.0,1.0,1.0,[21]
Q_2022_FIN_01,3,number,1,[21],1.0,0.5,1.0,"[21, 22]"
Q_2022_FIN_01,5,number,1,[21],1.0,0.25,1.0,"[21, 22, 25, 135]"
Q_2022_FIN_01,10,number,1,[21],1.0,0.14285714285714285,1.0,"[21, 22, 25, 135, 16, 51, 26]"
Q_2022_FIN_02,1,number,1,[21],1.0,1.0,1.0,[21]
Q_2022_FIN_02,3,number,1,[21],1.0,0.3333333333333333,1.0,"[21, 18, 22]"
Q_2022_FIN_02,5,number,1,[21],1.0,0.2,1.0,"[21, 18, 22, 25, 135]"
Q_2022_FIN_02,10,number,1,[21],1.0,0.125,1.0,"[21, 18, 22, 25, 135, 81, 26, 82]"
Q_2022_FIN_03,1,number,2,[21],1.0,1.0,1.0,[21]
Q_2022_FIN_03,3,number,2,[21],1.0,0.3333333333333333,1.0,"[21, 17, 22]"
Q_2022_FIN_03,5,number,2,[21],1.0,0.25,1.0,"[21, 17, 22, 24]"
Q_2022_FIN_03,10,number,2,[21],1.0,0.14285714285714285,1.0,"[21, 17, 22, 24, 113, 122, 20]"
Q_2022_FIN_04,1,number,1,[21],0.0,0.0,0.0,[135]
Q_2022_FIN_04,3,number,1,[21],1.0,0.3333333333333333,0.5,"[135, 21, 139]"
Q_2022_FIN_04,5,number,1,[21],1.0,0.25,0.5,"[135, 21, 139, 27]"
Q_2022_FIN_04,10,number,1,[21],1.0,0.14285714285714285,0.5,"[135, 21, 139, 27, 22, 95, 81]"
Q_2022_FIN_05,1,number,1,[21],1.0,1.0,1.0,[21]
Q_2022_FIN_05,3,number,1,[21],1.0,0.3333333333333333,1.0,"[21, 22, 17]"
Q_2022_FIN_05,5,number,1,[21],1.0,0.25,1.0,"[21, 22, 17, 24]"
Q_2022_FIN_05,10,number,1,[21],1.0,0.125,1.0,"[21, 22, 17, 24, 96, 113, 114, 122]"
Q_2022_FIN_06,1,number,1,[21],0.0,0.0,0.0,[17]
Q_2022_FIN_06,3,number,1,[21],1.0,0.5,0.5,"[17, 21]"
Q_2022_FIN_06,5,number,1,[21],1.0,0.25,0.5,"[17, 21, 24, 22]"
Q_2022_FIN_06,10,number,1,[21],1.0,0.14285714285714285,0.5,"[17, 21, 24, 22, 96, 122, 20]"
Q_2022_FIN_07,1,number,1,[21],1.0,1.0,1.0,[21]
Q_2022_FIN_07,3,number,1,[21],1.0,0.3333333333333333,1.0,"[21, 71, 22]"
Q_2022_FIN_07,5,number,1,[21],1.0,0.25,1.0,"[21, 71, 22, 113]"
Q_2022_FIN_07,10,number,1,[21],1.0,0.1111111111111111,1.0,"[21, 71, 22, 113, 20, 122, 19, 17, 24]"
Q_2022_FIN_P1,1,number,1,[22],0.0,0.0,0.0,[21]
Q_2022_FIN_P1,3,number,1,[22],0.0,0.0,0.0,"[21, 25, 135]"
Q_2022_FIN_P1,5,number,1,[22],0.0,0.0,0.0,"[21, 25, 135, 27, 140]"
Q_2022_FIN_P1,10,number,1,[22],1.0,0.1111111111111111,0.16666666666666666,"[21, 25, 135, 27, 140, 22, 143, 18, 130]"
Q_2022_SAV_01,1,number,1,[22],1.0,1.0,1.0,[22]
Q_2022_SAV_01,3,number,1,[22],1.0,0.3333333333333333,1.0,"[22, 21, 135]"
Q_2022_SAV_01,5,number,1,[22],1.0,0.2,1.0,"[22, 21, 135, 25, 18]"
Q_2022_SAV_01,10,number,1,[22],1.0,0.1111111111111111,1.0,"[22, 21, 135, 25, 18, 27, 81, 26, 82]"
Q_2022_SAV_02,1,number,1,[22],0.0,0.0,0.0,[135]
Q_2022_SAV_02,3,number,1,[22],1.0,0.3333333333333333,0.5,"[135, 22, 15]"
Q_2022_SAV_02,5,number,1,[22],1.0,0.2,0.5,"[135, 22, 15, 16, 25]"
Q_2022_SAV_02,10,number,1,[22],1.0,0.1,0.5,"[135, 22, 15, 16, 25, 21, 81, 18, 26, 139]"
Q_2022_SAV_03,1,number,1,[22],0.0,0.0,0.0,[125]
Q_2022_SAV_03,3,number,1,[22],1.0,0.3333333333333333,0.3333333333333333,"[125, 24, 22]"
Q_2022_SAV_03,5,number,1,[22],1.0,0.25,0.3333333333333333,"[125, 24, 22, 136]"
Q_2022_SAV_03,10,number,1,[22],1.0,0.125,0.3333333333333333,"[125, 24, 22, 136, 20, 21, 135, 100]"
Q_2022_SAV_04,1,number,1,[22],1.0,1.0,1.0,[22]
Q_2022_SAV_04,3,number,1,[22],1.0,0.5,1.0,"[22, 24]"
Q_2022_SAV_04,5,number,1,[22],1.0,0.3333333333333333,1.0,"[22, 24, 71]"
Q_2022_SAV_04,10,number,1,[22],1.0,0.14285714285714285,1.0,"[22, 24, 71, 21, 125, 135, 19]"
Q_2022_SAV_P1,1,text,1,[22],1.0,1.0,1.0,[22]
Q_2022_SAV_P1,3,text,1,[22],1.0,0.5,1.0,"[22, 21]"
Q_2022_SAV_P1,5,text,1,[22],1.0,0.5,1.0,"[22, 21]"
Q_2022_SAV_P1,10,text,1,[22],1.0,0.14285714285714285,1.0,"[22, 21, 20, 135, 25, 125, 71]"
Q_2022_IJB_01,1,number,1,[19],0.0,0.0,0.0,[25]
Q_2022_IJB_01,3,number,1,[19],0.0,0.0,0.0,"[25, 17, 90]"
Q_2022_IJB_01,5,number,1,[19],1.0,0.2,0.25,"[25, 17, 90, 19, 91]"
Q_2022_IJB_01,10,number,1,[19],1.0,0.1111111111111111,0.25,"[25, 17, 90, 19, 91, 21, 26, 140, 16]"
Q_2022_IJB_02,1,number,2,[19],0.0,0.0,0.0,[20]
Q_2022_IJB_02,3,number,2,[19],1.0,0.5,0.5,"[20, 19]"
Q_2022_IJB_02,5,number,2,[19],1.0,0.25,0.5,"[20, 19, 140, 146]"
Q_2022_IJB_02,10,number,2,[19],1.0,0.14285714285714285,0.5,"[20, 19, 140, 146, 24, 97, 40]"
Q_2022_IJB_03,1,number,2,[20],1.0,1.0,1.0,[20]
Q_2022_IJB_03,3,number,2,[20],1.0,0.5,1.0,"[20, 140]"
