query_id,rank,score
Q_2025_FIN_01,1,0.7554624080657959
Q_2025_FIN_01,2,0.7049553990364075
Q_2025_FIN_02,1,0.7157605886459351
Q_2025_FIN_02,2,0.6393500566482544
Q_2025_FIN_03,1,0.7193096876144409
Q_2025_FIN_03,2,0.6865848302841187
Q_2025_FIN_04,1,0.6414484977722168
Q_2025_FIN_04,2,0.5946521759033203
Q_2025_FIN_05,1,0.5362774729728699
Q_2025_FIN_05,2,0.5163058638572693
Q_2025_FIN_06,1,0.6781007647514343
Q_2025_FIN_06,2,0.6563977003097534
Q_2025_FIN_07,1,0.7544680833816528
Q_2025_FIN_07,2,0.5625465512275696
Q_2025_FIN_P1,1,0.724567174911499
Q_2025_FIN_P1,2,0.7142117619514465
Q_2025_FIN_08,1,0.6292529702186584
Q_2025_FIN_08,2,0.6272940039634705
Q_2025_FIN_09,1,0.5435264110565186
Q_2025_FIN_09,2,0.4878537356853485
Q_2025_FIN_P2,1,0.5231010913848877
Q_2025_FIN_P2,2,0.48620447516441345
Q_2025_SAV_01,1,0.6277730464935303
Q_2025_SAV_01,2,0.6252244114875793
Q_2025_SAV_02,1,0.6504974961280823
Q_2025_SAV_02,2,0.6471503376960754
Q_2025_SAV_03,1,0.4289863705635071
Q_2025_SAV_03,2,0.41648122668266296
Q_2025_SAV_04,1,0.49433544278144836
Q_2025_SAV_04,2,0.4457339644432068
Q_2025_SAV_P1,1,0.4448030889034271
Q_2025_SAV_P1,2,0.43359464406967163
Q_2025_SAV_P2,1,0.6959847211837769
Q_2025_SAV_P2,2,0.6669232249259949
Q_2025_IJB_01,1,0.6948522925376892
Q_2025_IJB_01,2,0.6700973510742188
Q_2025_IJB_02,1,0.6704595685005188
Q_2025_IJB_02,2,0.5488793849945068
Q_2025_IJB_03,1,0.6476289629936218
Q_2025_IJB_03,2,0.5980523824691772
Q_2025_IJB_04,1,0.5938590168952942
Q_2025_IJB_04,2,0.541368842124939
Q_2025_IJB_05,1,0.7389413714408875
Q_2025_IJB_05,2,0.6784607172012329
Q_2025_IJB_06,1,0.5755628347396851
Q_2025_IJB_06,2,0.5617198944091797
Q_2025_IJB_P1,1,0.6912834048271179
Q_2025_IJB_P1,2,0.6904382109642029
Q_2025_AE_01,1,0.6444379091262817
Q_2025_AE_01,2,0.6068688035011292
Q_2025_AE_02,1,0.5862131118774414
Q_2025_AE_02,2,0.5768799781799316
Q_2025_AE_03,1,0.5744662284851074
Q_2025_AE_03,2,0.5645864605903625
Q_2025_AE_04,1,0.5790914297103882
Q_2025_AE_04,2,0.567258358001709
Q_2025_AE_P1,1,0.484641432762146
Q_2025_AE_P1,2,0.41248196363449097
Q_2025_DEL_01,1,0.4380502998828888
Q_2025_DEL_01,2,0.4027782082557678
Q_2025_DEL_02,1,0.38266757130622864
Q_2025_DEL_02,2,0.3600938618183136
Q_2025_DEL_03,1,0.42992401123046875
Q_2025_DEL_03,2,0.3921509087085724
Q_2025_DEL_04,1,0.43426358699798584
Q_2025_DEL_04,2,0.4132360816001892
Q_2025_DEL_P1,1,0.7189794182777405
Q_2025_DEL_P1,2,0.677219808101654
Q_2025_STR_01,1,0.6699602007865906
Q_2025_STR_01,2,0.6317823529243469
Q_2025_ESC_01,1,0.743396520614624
Q_2025_ESC_01,2,0.707768440246582
Q_2025_ESC_02,1,0.6388022899627686
Q_2025_ESC_02,2,0.6300549507141113
Q_2025_ESC_P1,1,0.6308273077011108
Q_2025_ESC_P1,2,0.6296881437301636
Q_2025_ESC_P2,1,0.6316578388214111
Q_2025_ESC_P2,2,0.6078088283538818
Q_2025_PLAN_01,1,0.48332756757736206
Q_2025_PLAN_01,2,0.46961233019828796
Q_2025_GOPES_01,1,0.5873098969459534
Q_2025_GOPES_01,2,0.42331305146217346
Q_2025_FIN_10,1,0.6266859769821167
Q_2025_FIN_10,2,0.6266486644744873
Q_2025_FIN_11,1,0.5691264867782593
Q_2025_FIN_11,2,0.5688565373420715
Q_2025_FIN_12,1,0.5696064829826355
Q_2025_FIN_12,2,0.5378544926643372
Q_2025_FIN_13,1,0.6070422530174255
Q_2025_FIN_13,2,0.6002583503723145
Q_2025_GOV_01,1,0.6873534917831421
Q_2025_GOV_01,2,0.6838785409927368
Q_2025_FIN_P3,1,0.4938655495643616
Q_2025_FIN_P3,2,0.4884510040283203
Q_2025_FIN_17,1,0.5691264867782593
Q_2025_FIN_17,2,0.5688565373420715
Q_2025_FIN_18,1,0.6379402279853821
Q_2025_FIN_18,2,0.5460841655731201
Q_2025_GOV_02,1,0.3604816496372223
Q_2025_GOV_02,2,0.32766881585121155
