query_id,rank,score
Q_2024_FIN_01,1,0.7057676911354065
Q_2024_FIN_01,2,0.6649820804595947
Q_2024_FIN_02,1,0.6518994569778442
Q_2024_FIN_02,2,0.63623046875
Q_2024_FIN_03,1,0.6681503653526306
Q_2024_FIN_03,2,0.6672288775444031
Q_2024_FIN_04,1,0.5436381101608276
Q_2024_FIN_04,2,0.5108039379119873
Q_2024_FIN_05,1,0.6898273229598999
Q_2024_FIN_05,2,0.6886984705924988
Q_2024_FIN_06,1,0.5487584471702576
Q_2024_FIN_06,2,0.5202563405036926
Q_2024_FIN_07,1,0.6452969908714294
Q_2024_FIN_07,2,0.6201565265655518
Q_2024_FIN_08,1,0.6156657338142395
Q_2024_FIN_08,2,0.5801976323127747
Q_2024_FIN_09,1,0.5747005343437195
Q_2024_FIN_09,2,0.5717846155166626
Q_2024_FIN_10,1,0.5468431115150452
Q_2024_FIN_10,2,0.4494061768054962
Q_2024_FIN_11,1,0.7054417729377747
Q_2024_FIN_11,2,0.698540210723877
Q_2024_FIN_12,1,0.7456955909729004
Q_2024_FIN_12,2,0.7049018740653992
Q_2024_FIN_13,1,0.6788705587387085
Q_2024_FIN_13,2,0.6422355771064758
Q_2024_FIN_14,1,0.5975528359413147
Q_2024_FIN_14,2,0.567105233669281
Q_2024_SAV_01,1,0.703737199306488
Q_2024_SAV_01,2,0.703048050403595
Q_2024_SAV_02,1,0.4644526243209839
Q_2024_SAV_02,2,0.41602540016174316
Q_2024_SAV_03,1,0.4576137065887451
Q_2024_SAV_03,2,0.45038434863090515
Q_2024_SAV_04,1,0.4182407557964325
Q_2024_SAV_04,2,0.41241177916526794
Q_2024_SAV_05,1,0.5028856992721558
Q_2024_SAV_05,2,0.4941813349723816
Q_2024_SAV_06,1,0.44940680265426636
Q_2024_SAV_06,2,0.429271936416626
Q_2024_IJB_01,1,0.7033160924911499
Q_2024_IJB_01,2,0.6529362201690674
Q_2024_IJB_02,1,0.6968514323234558
Q_2024_IJB_02,2,0.6664329171180725
Q_2024_IJB_03,1,0.7412858605384827
Q_2024_IJB_03,2,0.6423876285552979
Q_2024_IJB_04,1,0.7676124572753906
Q_2024_IJB_04,2,0.6766795516014099
Q_2024_IJB_05,1,0.6662991642951965
Q_2024_IJB_05,2,0.6392368674278259
Q_2024_IJB_06,1,0.6288943290710449
Q_2024_IJB_06,2,0.6267175078392029
Q_2024_IJB_07,1,0.6379923820495605
Q_2024_IJB_07,2,0.6363309621810913
Q_2024_IJB_08,1,0.6351930499076843
Q_2024_IJB_08,2,0.6075719594955444
Q_2024_AE_01,1,0.5077942609786987
Q_2024_AE_01,2,0.39448752999305725
Q_2024_AE_02,1,0.5559378266334534
Q_2024_AE_02,2,0.516695499420166
Q_2024_AE_03,1,0.5916752219200134
Q_2024_AE_03,2,0.5590357780456543
Q_2024_AE_04,1,0.6285399198532104
Q_2024_AE_04,2,0.6024399399757385
Q_2024_AE_05,1,0.5824280977249146
Q_2024_AE_05,2,0.4487683176994324
Q_2024_AE_06,1,0.49844813346862793
Q_2024_AE_06,2,0.4233448803424835
Q_2024_DEL_01,1,0.7513909935951233
Q_2024_DEL_01,2,0.6827782988548279
Q_2024_DEL_02,1,0.6239184141159058
Q_2024_DEL_02,2,0.5346329212188721
Q_2024_DEL_03,1,0.7355457544326782
Q_2024_DEL_03,2,0.7332649230957031
Q_2024_DEL_04,1,0.5497768521308899
Q_2024_DEL_04,2,0.533498227596283
Q_2024_DEL_05,1,0.5614429116249084
Q_2024_DEL_05,2,0.546820878982544
Q_2024_ESC_01,1,0.6308625340461731
Q_2024_ESC_01,2,0.610572874546051
Q_2024_ESC_02,1,0.6307969689369202
Q_2024_ESC_02,2,0.6191021203994751
Q_2024_ESC_03,1,0.5260680913925171
Q_2024_ESC_03,2,0.5095869302749634
Q_2024_ESC_04,1,0.5468035340309143
Q_2024_ESC_04,2,0.39577487111091614
Q_2024_GOPES_01,1,0.4567476511001587
Q_2024_GOPES_01,2,0.3457614481449127
Q_2024_GOPES_02,1,0.6268749833106995
Q_2024_GOPES_02,2,0.5077629089355469
Q_2024_GOV_01,1,0.6667665839195251
Q_2024_GOV_01,2,0.6376922130584717
Q_2024_GOV_02,1,0.4691878855228424
Q_2024_GOV_02,2,0.424306184053421
Q_2024_GOV_03,1,0.5092962384223938
Q_2024_GOV_03,2,0.501720130443573
Q_2024_GOV_04,1,0.4362228810787201
Q_2024_GOV_04,2,0.4122699499130249
Q_2024_GOV_05,1,0.6699188947677612
Q_2024_GOV_05,2,0.6443027853965759
