doc_id,query_id,difficulty,answer_type,chunk_text_truncations,context_truncated,context_chunks_used,context_chars_used,expected_answer_present_in_full_retrieved,expected_answer_present_in_trimmed_context,lost_expected_due_to_trim_or_cap,loss_by_per_chunk_trim,loss_by_context_cap,expected_in_excluded_chunks,expected_answer_len
Grampian-2020-2021,Q_2021_FIN_01,MOD,number,0,False,5,6899,False,False,False,False,False,False,17
Grampian-2020-2021,Q_2021_FIN_02,MOD,number,0,False,5,7107,False,False,False,False,False,False,17
Grampian-2020-2021,Q_2021_FIN_03,MOD,number,0,False,5,6221,False,False,False,False,False,False,19
Grampian-2020-2021,Q_2021_FIN_P1,MOD,number,0,False,5,7029,False,False,False,False,False,False,22
Grampian-2020-2021,Q_2021_FIN_04,MOD,number,0,False,5,7077,False,False,False,False,False,False,17
Grampian-2020-2021,Q_2021_FIN_05,LEX,number,0,False,5,6984,False,False,False,False,False,False,17
Grampian-2020-2021,Q_2021_FIN_06,LEX,number,1,False,5,7950,False,False,False,False,False,False,14
Grampian-2020-2021,Q_2021_FIN_07,LEX,number,0,False,5,5630,False,False,False,False,False,False,15
Grampian-2020-2021,Q_2021_FIN_P2,STR,text,0,False,5,7094,False,False,False,False,False,False,76
Grampian-2020-2021,Q_2021_SAV_01,MOD,number,0,False,5,6784,True,True,False,False,False,False,12
Grampian-2020-2021,Q_2021_SAV_02,MOD,number,0,False,5,6486,False,False,False,False,False,False,13
Grampian-2020-2021,Q_2021_SAV_03,MOD,number,0,False,5,6352,True,True,False,False,False,False,13
Grampian-2020-2021,Q_2021_SAV_04,LEX,number,0,False,5,6239,True,True,False,False,False,False,13
Grampian-2020-2021,Q_2021_SAV_P1,STR,text,0,False,5,6972,False,False,False,False,False,False,97
Grampian-2020-2021,Q_2021_COV_01,MOD,number,0,False,5,6427,True,True,False,False,False,False,13
Grampian-2020-2021,Q_2021_COV_02,LEX,number,0,False,5,6879,True,True,False,False,False,False,13
Grampian-2020-2021,Q_2021_COV_P1,MOD,number,0,False,5,6944,False,False,False,False,False,False,60
Grampian-2020-2021,Q_2021_IJB_01,MOD,number,2,False,5,7785,False,False,False,False,False,False,15
Grampian-2020-2021,Q_2021_IJB_02,LEX,number,0,False,5,3735,True,True,False,False,False,False,15
