query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_subsection,expected_pages,evidence_layout,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,table_chunk_hit_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_18_FIN_01,FIN,18,1,1,number,Grampian-2017-2018,,,[92],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,0.0,[92],['Grampian-2017-2018:p0092_003'],['Grampian-2017-2018']
Q_18_FIN_01,FIN,18,1,3,number,Grampian-2017-2018,,,[92],,hit,0,0.0,[],1.0,0.5,1.0,1.0,0.3333333333333333,1.0,0.0,"[92, 45]","['Grampian-2017-2018:p0092_003', 'Grampian-2017-2018:p0045_002', 'Grampian-2017-2018:p0045_003']","['Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018']"
Q_18_FIN_01,FIN,18,1,5,number,Grampian-2017-2018,,,[92],,hit,0,0.0,[],1.0,0.25,1.0,1.0,0.2,1.0,0.0,"[92, 45, 52, 11]","['Grampian-2017-2018:p0092_003', 'Grampian-2017-2018:p0045_002', 'Grampian-2017-2018:p0045_003', 'Grampian-2017-2018:p0052_000', 'Grampian-2017-2018:p0011_002']","['Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018']"
Q_18_FIN_01,FIN,18,1,10,number,Grampian-2017-2018,,,[92],,hit,0,0.0,[],1.0,0.125,1.0,1.0,0.2,1.0,0.0,"[92, 45, 52, 11, 51, 8, 94, 98]","['Grampian-2017-2018:p0092_003', 'Grampian-2017-2018:p0045_002', 'Grampian-2017-2018:p0045_003', 'Grampian-2017-2018:p0052_000', 'Grampian-2017-2018:p0011_002']","['Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018']"
Q_18_FIN_02,FIN,18,2,1,number,Grampian-2017-2018,,,[92],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,0.0,[92],['Grampian-2017-2018:p0092_003'],['Grampian-2017-2018']
Q_18_FIN_02,FIN,18,2,3,number,Grampian-2017-2018,,,[92],,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.0,"[92, 45, 46]","['Grampian-2017-2018:p0092_003', 'Grampian-2017-2018:p0045_002', 'Grampian-2017-2018:p0046_000']","['Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018']"
Q_18_FIN_02,FIN,18,2,5,number,Grampian-2017-2018,,,[92],,hit,0,0.0,[],1.0,0.25,1.0,1.0,0.4,1.0,0.0,"[92, 45, 46, 43]","['Grampian-2017-2018:p0092_003', 'Grampian-2017-2018:p0045_002', 'Grampian-2017-2018:p0046_000', 'Grampian-2017-2018:p0092_002', 'Grampian-2017-2018:table_p0043']","['Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018']"
Q_18_FIN_02,FIN,18,2,10,number,Grampian-2017-2018,,,[92],,hit,0,0.0,[],1.0,0.125,1.0,1.0,0.2,1.0,0.0,"[92, 45, 46, 43, 98, 94, 12, 16]","['Grampian-2017-2018:p0092_003', 'Grampian-2017-2018:p0045_002', 'Grampian-2017-2018:p0046_000', 'Grampian-2017-2018:p0092_002', 'Grampian-2017-2018:table_p0043']","['Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018']"
Q_18_STF_01,STF,18,1,1,number,Grampian-2017-2018,,,[45],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,0.0,[45],['Grampian-2017-2018:p0045_002'],['Grampian-2017-2018']
Q_18_STF_01,STF,18,1,3,number,Grampian-2017-2018,,,[45],,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.0,"[45, 46, 92]","['Grampian-2017-2018:p0045_002', 'Grampian-2017-2018:p0046_000', 'Grampian-2017-2018:p0092_003']","['Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018']"
Q_18_STF_01,STF,18,1,5,number,Grampian-2017-2018,,,[45],,hit,0,0.0,[],1.0,0.2,1.0,1.0,0.2,1.0,0.0,"[45, 46, 92, 24, 20]","['Grampian-2017-2018:p0045_002', 'Grampian-2017-2018:p0046_000', 'Grampian-2017-2018:p0092_003', 'Grampian-2017-2018:p0024_000', 'Grampian-2017-2018:p0020_001']","['Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018']"
Q_18_STF_01,STF,18,1,10,number,Grampian-2017-2018,,,[45],,hit,0,0.0,[],1.0,0.1111111111111111,1.0,1.0,0.1,1.0,0.0,"[45, 46, 92, 24, 20, 40, 65, 44, 38]","['Grampian-2017-2018:p0045_002', 'Grampian-2017-2018:p0046_000', 'Grampian-2017-2018:p0092_003', 'Grampian-2017-2018:p0024_000', 'Grampian-2017-2018:p0020_001']","['Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018', 'Grampian-2017-2018']"
Q_18_STF_03,STF,18,3,1,number,Grampian-2017-2018,,,[45],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,0.0,[45],['Grampian-2017-2018:p0045_001'],['Grampian-2017-2018']
