query_id,k,answer_type,num_variants,expected_pages,recall_at_k,precision_at_k,mrr_at_k,top_pages
Q_2021_FIN_01,1,number,1,[28],1.0,1.0,1.0,[28]
Q_2021_FIN_01,3,number,1,[28],1.0,0.3333333333333333,1.0,"[28, 32, 74]"
Q_2021_FIN_01,5,number,1,[28],1.0,0.25,1.0,"[28, 32, 74, 25]"
Q_2021_FIN_01,10,number,1,[28],1.0,0.1111111111111111,1.0,"[28, 32, 74, 25, 73, 127, 24, 23, 46]"
Q_2021_FIN_02,1,number,1,[28],1.0,1.0,1.0,[28]
Q_2021_FIN_02,3,number,1,[28],1.0,0.3333333333333333,1.0,"[28, 32, 73]"
Q_2021_FIN_02,5,number,1,[28],1.0,0.2,1.0,"[28, 32, 73, 29, 24]"
Q_2021_FIN_02,10,number,1,[28],1.0,0.1111111111111111,1.0,"[28, 32, 73, 29, 24, 74, 127, 30, 25]"
Q_2021_FIN_03,1,number,1,[28],1.0,1.0,1.0,[28]
Q_2021_FIN_03,3,number,1,[28],1.0,0.3333333333333333,1.0,"[28, 127, 24]"
Q_2021_FIN_03,5,number,1,[28],1.0,0.25,1.0,"[28, 127, 24, 32]"
Q_2021_FIN_03,10,number,1,[28],1.0,0.125,1.0,"[28, 127, 24, 32, 73, 29, 25, 74]"
Q_2021_FIN_P1,1,number,1,[28],1.0,1.0,1.0,[28]
Q_2021_FIN_P1,3,number,1,[28],1.0,0.3333333333333333,1.0,"[28, 127, 24]"
Q_2021_FIN_P1,5,number,1,[28],1.0,0.25,1.0,"[28, 127, 24, 32]"
Q_2021_FIN_P1,10,number,1,[28],1.0,0.16666666666666666,1.0,"[28, 127, 24, 32, 73, 40]"
Q_2021_FIN_04,1,number,1,[28],1.0,1.0,1.0,[28]
Q_2021_FIN_04,3,number,1,[28],1.0,0.3333333333333333,1.0,"[28, 131, 37]"
Q_2021_FIN_04,5,number,1,[28],1.0,0.25,1.0,"[28, 131, 37, 132]"
Q_2021_FIN_04,10,number,1,[28],1.0,0.125,1.0,"[28, 131, 37, 132, 127, 32, 96, 34]"
Q_2021_FIN_05,1,number,1,[28],1.0,1.0,1.0,[28]
Q_2021_FIN_05,3,number,1,[28],1.0,0.5,1.0,"[28, 88]"
Q_2021_FIN_05,5,number,1,[28],1.0,0.3333333333333333,1.0,"[28, 88, 23]"
Q_2021_FIN_05,10,number,1,[28],1.0,0.14285714285714285,1.0,"[28, 88, 23, 105, 27, 33, 24]"
Q_2021_FIN_06,1,number,1,[28],1.0,1.0,1.0,[28]
Q_2021_FIN_06,3,number,1,[28],1.0,0.5,1.0,"[28, 27]"
Q_2021_FIN_06,5,number,1,[28],1.0,0.25,1.0,"[28, 27, 31, 26]"
Q_2021_FIN_06,10,number,1,[28],1.0,0.14285714285714285,1.0,"[28, 27, 31, 26, 88, 74, 23]"
Q_2021_FIN_07,1,number,2,[28],1.0,1.0,1.0,[28]
Q_2021_FIN_07,3,number,2,[28],1.0,0.3333333333333333,1.0,"[28, 23, 27]"
Q_2021_FIN_07,5,number,2,[28],1.0,0.2,1.0,"[28, 23, 27, 26, 105]"
Q_2021_FIN_07,10,number,2,[28],1.0,0.14285714285714285,1.0,"[28, 23, 27, 26, 105, 31, 88]"
Q_2021_FIN_P2,1,text,1,[28],1.0,1.0,1.0,[28]
Q_2021_FIN_P2,3,text,1,[28],1.0,0.3333333333333333,1.0,"[28, 130, 127]"
Q_2021_FIN_P2,5,text,1,[28],1.0,0.3333333333333333,1.0,"[28, 130, 127]"
Q_2021_FIN_P2,10,text,1,[28],1.0,0.16666666666666666,1.0,"[28, 130, 127, 89, 27, 90]"
Q_2021_SAV_01,1,number,1,[29],0.0,0.0,0.0,[28]
Q_2021_SAV_01,3,number,1,[29],1.0,0.3333333333333333,0.5,"[28, 29, 127]"
Q_2021_SAV_01,5,number,1,[29],1.0,0.2,0.5,"[28, 29, 127, 33, 4]"
Q_2021_SAV_01,10,number,1,[29],1.0,0.1111111111111111,0.5,"[28, 29, 127, 33, 4, 73, 32, 7, 24]"
Q_2021_SAV_02,1,number,1,[29],1.0,1.0,1.0,[29]
Q_2021_SAV_02,3,number,1,[29],1.0,0.3333333333333333,1.0,"[29, 28, 32]"
Q_2021_SAV_02,5,number,1,[29],1.0,0.2,1.0,"[29, 28, 32, 127, 73]"
