query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_subsection,expected_pages,evidence_layout,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,table_chunk_hit_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_20_FIN_01,FIN,20,1,1,number,Shetland-2019-2020,,,[15],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,0.0,[15],['Shetland-2019-2020:p0015_000'],['Shetland-2019-2020']
Q_20_FIN_01,FIN,20,1,3,number,Shetland-2019-2020,,,[15],,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.0,"[15, 11, 66]","['Shetland-2019-2020:p0015_000', 'Shetland-2019-2020:p0011_000', 'Shetland-2019-2020:p0066_003']","['Shetland-2019-2020', 'Shetland-2019-2020', 'Shetland-2019-2020']"
Q_20_FIN_01,FIN,20,1,5,number,Shetland-2019-2020,,,[15],,hit,0,0.0,[],1.0,0.2,1.0,1.0,0.2,1.0,0.0,"[15, 11, 66, 54, 37]","['Shetland-2019-2020:p0015_000', 'Shetland-2019-2020:p0011_000', 'Shetland-2019-2020:p0066_003', 'Shetland-2019-2020:p0054_000', 'Shetland-2019-2020:p0037_002']","['Shetland-2019-2020', 'Shetland-2019-2020', 'Shetland-2019-2020', 'Shetland-2019-2020', 'Shetland-2019-2020']"
Q_20_FIN_01,FIN,20,1,10,number,Shetland-2019-2020,,,[15],,hit,0,0.0,[],1.0,0.1111111111111111,1.0,1.0,0.2,1.0,0.0,"[15, 11, 66, 54, 37, 14, 17, 80, 60]","['Shetland-2019-2020:p0015_000', 'Shetland-2019-2020:p0011_000', 'Shetland-2019-2020:p0066_003', 'Shetland-2019-2020:p0054_000', 'Shetland-2019-2020:p0037_002']","['Shetland-2019-2020', 'Shetland-2019-2020', 'Shetland-2019-2020', 'Shetland-2019-2020', 'Shetland-2019-2020']"
Q_20_FIN_04,FIN,20,4,1,number,Shetland-2019-2020,,,[11],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,0.0,[11],['Shetland-2019-2020:p0011_000'],['Shetland-2019-2020']
Q_20_FIN_04,FIN,20,4,3,number,Shetland-2019-2020,,,[11],,hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.0,"[11, 14]","['Shetland-2019-2020:p0011_000', 'Shetland-2019-2020:p0014_002', 'Shetland-2019-2020:p0011_001']","['Shetland-2019-2020', 'Shetland-2019-2020', 'Shetland-2019-2020']"
Q_20_FIN_04,FIN,20,4,5,number,Shetland-2019-2020,,,[11],,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.4,1.0,0.0,"[11, 14, 6]","['Shetland-2019-2020:p0011_000', 'Shetland-2019-2020:p0014_002', 'Shetland-2019-2020:p0011_001', 'Shetland-2019-2020:p0014_001', 'Shetland-2019-2020:p0006_000']","['Shetland-2019-2020', 'Shetland-2019-2020', 'Shetland-2019-2020', 'Shetland-2019-2020', 'Shetland-2019-2020']"
Q_20_FIN_04,FIN,20,4,10,number,Shetland-2019-2020,,,[11],,hit,0,0.0,[],1.0,0.16666666666666666,1.0,1.0,0.2,1.0,0.0,"[11, 14, 6, 91, 17, 60]","['Shetland-2019-2020:p0011_000', 'Shetland-2019-2020:p0014_002', 'Shetland-2019-2020:p0011_001', 'Shetland-2019-2020:p0014_001', 'Shetland-2019-2020:p0006_000']","['Shetland-2019-2020', 'Shetland-2019-2020', 'Shetland-2019-2020', 'Shetland-2019-2020', 'Shetland-2019-2020']"
Q_20_STF_01,STF,20,1,1,number,Shetland-2019-2020,,,[41],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,0.0,[41],['Shetland-2019-2020:p0041_000'],['Shetland-2019-2020']
Q_20_STF_01,STF,20,1,3,number,Shetland-2019-2020,,,[41],,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.0,"[41, 45, 17]","['Shetland-2019-2020:p0041_000', 'Shetland-2019-2020:p0045_000', 'Shetland-2019-2020:p0017_003']","['Shetland-2019-2020', 'Shetland-2019-2020', 'Shetland-2019-2020']"
