page,extractor_notes,ocr_text_len,clean_text_len,ocr_quality_reject,ocr_low_text_density,ocr_high_symbol_ratio,ocr_repeated_garbage,ocr_low_line_count,ocr_symbol_ratio,ocr_alpha_word_count,ocr_non_empty_lines
1,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,78,,,,,,,,
2,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4326,,,,,,,,
3,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3265,,,,,,,,
4,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4217,,,,,,,,
5,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2673,,,,,,,,
6,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3278,,,,,,,,
7,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2634,,,,,,,,
8,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4033,,,,,,,,
9,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4567,,,,,,,,
10,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4569,,,,,,,,
11,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3693,,,,,,,,
12,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,517,,,,,,,,
13,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2465,,,,,,,,
14,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3314,,,,,,,,
15,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3287,,,,,,,,
16,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3637,,,,,,,,
17,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3677,,,,,,,,
18,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3733,,,,,,,,
19,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4034,,,,,,,,
