query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_subsection,expected_pages,evidence_layout,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,table_chunk_hit_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_07_FIN_01,FIN,7,1,1,number,Grampian-2006-2007,,,[9],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,0.0,[9],['Grampian-2006-2007:p0009_001'],['Grampian-2006-2007']
Q_07_FIN_01,FIN,7,1,3,number,Grampian-2006-2007,,,[9],,hit,0,0.0,[],1.0,0.5,1.0,1.0,0.3333333333333333,1.0,0.0,"[9, 11]","['Grampian-2006-2007:p0009_001', 'Grampian-2006-2007:p0011_003', 'Grampian-2006-2007:p0011_002']","['Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007']"
Q_07_FIN_01,FIN,7,1,5,number,Grampian-2006-2007,,,[9],,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.4,1.0,0.0,"[9, 11, 8]","['Grampian-2006-2007:p0009_001', 'Grampian-2006-2007:p0011_003', 'Grampian-2006-2007:p0011_002', 'Grampian-2006-2007:p0009_000', 'Grampian-2006-2007:p0008_003']","['Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007']"
Q_07_FIN_01,FIN,7,1,10,number,Grampian-2006-2007,,,[9],,hit,0,0.0,[],1.0,0.16666666666666666,1.0,1.0,0.3,1.0,0.0,"[9, 11, 8, 4, 14, 16]","['Grampian-2006-2007:p0009_001', 'Grampian-2006-2007:p0011_003', 'Grampian-2006-2007:p0011_002', 'Grampian-2006-2007:p0009_000', 'Grampian-2006-2007:p0008_003']","['Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007']"
Q_07_FIN_03,FIN,7,3,1,number,Grampian-2006-2007,,,[9],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,0.0,[9],['Grampian-2006-2007:p0009_001'],['Grampian-2006-2007']
Q_07_FIN_03,FIN,7,3,3,number,Grampian-2006-2007,,,[9],,hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.0,"[9, 10]","['Grampian-2006-2007:p0009_001', 'Grampian-2006-2007:p0009_000', 'Grampian-2006-2007:p0010_003']","['Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007']"
Q_07_FIN_03,FIN,7,3,5,number,Grampian-2006-2007,,,[9],,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.6,1.0,0.0,"[9, 10, 30]","['Grampian-2006-2007:p0009_001', 'Grampian-2006-2007:p0009_000', 'Grampian-2006-2007:p0010_003', 'Grampian-2006-2007:p0009_002', 'Grampian-2006-2007:p0030_000']","['Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007']"
Q_07_FIN_03,FIN,7,3,10,number,Grampian-2006-2007,,,[9],,hit,0,0.0,[],1.0,0.14285714285714285,1.0,1.0,0.3,1.0,0.0,"[9, 10, 30, 12, 8, 3, 51]","['Grampian-2006-2007:p0009_001', 'Grampian-2006-2007:p0009_000', 'Grampian-2006-2007:p0010_003', 'Grampian-2006-2007:p0009_002', 'Grampian-2006-2007:p0030_000']","['Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007']"
Q_07_FIN_04,FIN,7,4,1,number,Grampian-2006-2007,,,[9],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,0.0,[9],['Grampian-2006-2007:p0009_001'],['Grampian-2006-2007']
Q_07_FIN_04,FIN,7,4,3,number,Grampian-2006-2007,,,[9],,hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.0,"[9, 10]","['Grampian-2006-2007:p0009_001', 'Grampian-2006-2007:p0009_000', 'Grampian-2006-2007:p0010_003']","['Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007']"
Q_07_FIN_04,FIN,7,4,5,number,Grampian-2006-2007,,,[9],,hit,0,0.0,[],1.0,0.25,1.0,1.0,0.4,1.0,0.0,"[9, 10, 51, 8]","['Grampian-2006-2007:p0009_001', 'Grampian-2006-2007:p0009_000', 'Grampian-2006-2007:p0010_003', 'Grampian-2006-2007:p0051_000', 'Grampian-2006-2007:p0008_001']","['Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007']"
Q_07_FIN_04,FIN,7,4,10,number,Grampian-2006-2007,,,[9],,hit,0,0.0,[],1.0,0.14285714285714285,1.0,1.0,0.3,1.0,0.0,"[9, 10, 51, 8, 3, 30, 11]","['Grampian-2006-2007:p0009_001', 'Grampian-2006-2007:p0009_000', 'Grampian-2006-2007:p0010_003', 'Grampian-2006-2007:p0051_000', 'Grampian-2006-2007:p0008_001']","['Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007']"
Q_07_FIN_05,FIN,7,5,1,text,Grampian-2006-2007,,,[9],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,0.0,[9],['Grampian-2006-2007:p0009_002'],['Grampian-2006-2007']
Q_07_FIN_05,FIN,7,5,3,text,Grampian-2006-2007,,,[9],,hit,0,0.0,[],1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.0,"[9, 10]","['Grampian-2006-2007:p0009_002', 'Grampian-2006-2007:p0009_001', 'Grampian-2006-2007:p0010_003']","['Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007']"
Q_07_FIN_05,FIN,7,5,5,text,Grampian-2006-2007,,,[9],,hit,0,0.0,[],1.0,0.3333333333333333,1.0,1.0,0.6,1.0,0.0,"[9, 10, 11]","['Grampian-2006-2007:p0009_002', 'Grampian-2006-2007:p0009_001', 'Grampian-2006-2007:p0010_003', 'Grampian-2006-2007:p0009_000', 'Grampian-2006-2007:p0011_003']","['Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007']"
Q_07_FIN_05,FIN,7,5,10,text,Grampian-2006-2007,,,[9],,hit,0,0.0,[],1.0,0.2,1.0,1.0,0.3,1.0,0.0,"[9, 10, 11, 8, 17]","['Grampian-2006-2007:p0009_002', 'Grampian-2006-2007:p0009_001', 'Grampian-2006-2007:p0010_003', 'Grampian-2006-2007:p0009_000', 'Grampian-2006-2007:p0011_003']","['Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007', 'Grampian-2006-2007']"
Q_07_FIN_06,FIN,7,6,1,number,Grampian-2006-2007,,,[9],,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,0.0,[9],['Grampian-2006-2007:p0009_002'],['Grampian-2006-2007']
