max_context_chunks,max_context_chars,doc_id,query_id,difficulty,answer_type,generation_status,generation_model,latency_ms,context_chunks_used,context_chars_used,context_truncated,citations_valid,answer_correct,answer_status,generated_answer_empty
3,6000,Grampian-2020-2021,Q_2021_STR_04,LEX,text,ok,qwen2.5:7b-instruct,6377.579,3,3437,True,1,True,correct,False
3,6000,Grampian-2021-2022,Q_2022_FIN_04,LEX,number,ok,qwen2.5:7b-instruct,4249.839,3,4298,True,1,True,correct,False
3,6000,Grampian-2022-2023,Q_2023_DEL_02,LEX,number,ok,qwen2.5:7b-instruct,3352.615,3,2890,True,1,True,correct,False
3,6000,Grampian-2023-2024,Q_2024_SAV_01,LEX,number,ok,qwen2.5:7b-instruct,3682.2,3,4202,True,1,True,correct,False
3,6000,Grampian-2024-2025,Q_2025_FIN_07,LEX,number,insufficient_evidence,qwen2.5:7b-instruct,2160.194,3,3410,True,0,False,incorrect,True
3,9000,Grampian-2020-2021,Q_2021_STR_04,LEX,text,ok,qwen2.5:7b-instruct,3429.581,3,3437,True,1,True,correct,False
3,9000,Grampian-2021-2022,Q_2022_FIN_04,LEX,number,ok,qwen2.5:7b-instruct,4256.852,3,4298,True,1,True,correct,False
3,9000,Grampian-2022-2023,Q_2023_DEL_02,LEX,number,ok,qwen2.5:7b-instruct,3352.287,3,2890,True,1,True,correct,False
3,9000,Grampian-2023-2024,Q_2024_SAV_01,LEX,number,ok,qwen2.5:7b-instruct,3677.497,3,4202,True,1,True,correct,False
3,9000,Grampian-2024-2025,Q_2025_FIN_07,LEX,number,insufficient_evidence,qwen2.5:7b-instruct,2172.813,3,3410,True,0,False,incorrect,True
3,12000,Grampian-2020-2021,Q_2021_STR_04,LEX,text,ok,qwen2.5:7b-instruct,3447.38,3,3437,True,1,True,correct,False
3,12000,Grampian-2021-2022,Q_2022_FIN_04,LEX,number,ok,qwen2.5:7b-instruct,4342.061,3,4298,True,1,True,correct,False
3,12000,Grampian-2022-2023,Q_2023_DEL_02,LEX,number,ok,qwen2.5:7b-instruct,3445.521,3,2890,True,1,True,correct,False
3,12000,Grampian-2023-2024,Q_2024_SAV_01,LEX,number,ok,qwen2.5:7b-instruct,3810.623,3,4202,True,1,True,correct,False
3,12000,Grampian-2024-2025,Q_2025_FIN_07,LEX,number,insufficient_evidence,qwen2.5:7b-instruct,2290.256,3,3410,True,0,False,incorrect,True
5,6000,Grampian-2020-2021,Q_2021_STR_04,LEX,text,ok,qwen2.5:7b-instruct,4725.475,5,5633,False,1,True,correct,False
