page,extractor_notes,ocr_text_len,clean_text_len,ocr_quality_reject,ocr_low_text_density,ocr_high_symbol_ratio,ocr_repeated_garbage,ocr_low_line_count,ocr_symbol_ratio,ocr_alpha_word_count,ocr_non_empty_lines
1,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,52,,,,,,,,
3,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,545,,,,,,,,
4,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3345,,,,,,,,
5,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2525,,,,,,,,
6,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3229,,,,,,,,
7,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3883,,,,,,,,
8,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2805,,,,,,,,
9,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4040,,,,,,,,
10,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2704,,,,,,,,
11,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4548,,,,,,,,
12,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3332,,,,,,,,
13,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4146,,,,,,,,
14,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3406,,,,,,,,
15,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3398,,,,,,,,
16,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2774,,,,,,,,
17,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2995,,,,,,,,
18,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1948,,,,,,,,
19,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1770,,,,,,,,
20,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1787,,,,,,,,
21,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3137,,,,,,,,
22,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3587,,,,,,,,
23,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2764,,,,,,,,
24,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4082,,,,,,,,
25,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1345,,,,,,,,
26,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1115,,,,,,,,
27,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,948,,,,,,,,
28,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1793,,,,,,,,
29,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1930,,,,,,,,
30,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2104,,,,,,,,
31,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3790,,,,,,,,
32,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3060,,,,,,,,
33,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3847,,,,,,,,
34,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2222,,,,,,,,
35,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3443,,,,,,,,
36,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2221,,,,,,,,
37,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3777,,,,,,,,
38,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4024,,,,,,,,
39,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3247,,,,,,,,
40,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3532,,,,,,,,
41,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2973,,,,,,,,
42,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2519,,,,,,,,
43,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2404,,,,,,,,
44,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,809,,,,,,,,
45,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,697,,,,,,,,
46,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1097,,,,,,,,
47,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1282,,,,,,,,
48,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1658,,,,,,,,
49,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1511,,,,,,,,
50,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,903,,,,,,,,
51,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1346,,,,,,,,
52,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,484,,,,,,,,
53,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1511,,,,,,,,
54,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1460,,,,,,,,
55,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,830,,,,,,,,
56,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,746,,,,,,,,
57,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1179,,,,,,,,
58,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1430,,,,,,,,
59,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1348,,,,,,,,
60,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2403,,,,,,,,
61,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1243,,,,,,,,
62,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1671,,,,,,,,
63,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1552,,,,,,,,
64,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2251,,,,,,,,
65,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,928,,,,,,,,
66,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2310,,,,,,,,
67,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1860,,,,,,,,
68,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1241,,,,,,,,
69,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4311,,,,,,,,
70,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1172,,,,,,,,
71,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,659,,,,,,,,
72,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1258,,,,,,,,
73,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1500,,,,,,,,
74,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1303,,,,,,,,
75,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2811,,,,,,,,
76,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3051,,,,,,,,
77,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1210,,,,,,,,
78,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,756,,,,,,,,
79,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1113,,,,,,,,
