level,title_raw,title_norm,start_printed_page,start_pdf_page,confidence
2,Contents Page,contents page,1,3,0.7
2,Directors’ Report,directors' report,6,8,0.7
2,Remuneration Report,remuneration report,10,12,0.7
2,Strategic Report,strategic report,18,20,0.7
2,Statement of the Chief Executive's Responsibilities as the Accountable Officer of the Health Board,statement of the chief executive's responsibilities as the accountable officer of the health board,19,21,0.7
2,Statement of Health Board Members’ Responsibilities in Respect of the Accounts,statement of health board members' responsibilities in respect of the accounts,20,22,0.7
2,Governance Statement,governance statement,23,25,0.7
1,Independent auditor's report,independent auditor's report,25,27,0.7
2,Statement Of Comprehensive Net Expenditure,statement of comprehensive net expenditure,25,27,0.7
2,Summary of Resource Outturn,summary of resource outturn,26,28,0.7
2,Balance Sheet,balance sheet,27,29,0.7
2,Cash Flow Statement,cash flow statement,28,30,0.7
2,Statement Of Changes in Taxpayers Equity,statement of changes in taxpayers equity,29,31,0.7
2,Notes to the Accounts,notes to the accounts,72,74,0.7
