level,title_raw,title_norm,start_printed_page,start_pdf_page,confidence
1,Performance Report,performance report,3,3,0.7
2,a) Overview,a overview,16,16,0.7
2,a) Corporate Governance Report,a corporate governance report,39,39,0.7
3,i) Directors’ Report,i directors' report,43,43,0.7
3,ii) Statement of Chief Executive’s responsibilities as the Accountable Officer of the Health Board,ii statement of chief executive's responsibilities as the accountable officer of the health board,44,44,0.7
3,iii) Statement of Health Board Members’ Responsibilities in respect of the Accounts,iii statement of health board members' responsibilities in respect of the accounts,45,45,0.7
2,b) Remuneration and Staff Report,b remuneration and staff report,69,69,0.7
3,i) Remuneration Report,i remuneration report,73,73,0.7
3,ii) Staff Report,ii staff report,82,82,0.7
1,Accountability Report,accountability report,83,83,0.7
1,Financial Statements,financial statements,87,87,0.7
2,Consolidated Statement of Comprehensive Net Expenditure,consolidated statement of comprehensive net expenditure,89,89,0.7
2,Consolidated Statement of Financial Position,consolidated statement of financial position,91,91,0.7
2,Consolidated Cash Flow Statement,consolidated cash flow statement,93,93,0.7
2,Consolidated Statement of Changes in Taxpayer’s Equity,consolidated statement of changes in taxpayer's equity,94,94,0.7
2,Notes to the Accounts,notes to the accounts,140,140,0.7
