page,extractor_notes,ocr_text_len,clean_text_len,ocr_quality_reject,ocr_low_text_density,ocr_high_symbol_ratio,ocr_repeated_garbage,ocr_low_line_count,ocr_symbol_ratio,ocr_alpha_word_count,ocr_non_empty_lines
2,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,552,,,,,,,,
3,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2845,,,,,,,,
4,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2903,,,,,,,,
5,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3296,,,,,,,,
6,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2929,,,,,,,,
7,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2168,,,,,,,,
8,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3863,,,,,,,,
9,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3498,,,,,,,,
10,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2697,,,,,,,,
11,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3753,,,,,,,,
12,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2516,,,,,,,,
13,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4051,,,,,,,,
14,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2777,,,,,,,,
15,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2082,,,,,,,,
16,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2845,,,,,,,,
17,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1165,,,,,,,,
18,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1752,,,,,,,,
19,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1913,,,,,,,,
20,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3162,,,,,,,,
