id,x,y,label,text,page,section,category,highlight
Grampian-2022-2023:p0002_000,11.351354,1.7783235,PERFORMANCE REPORT,Page Performance Report 2 a) Overview 7 b) Performance Analysis The Accountability Report a) Corporate Governance Report 34 i) Directors Report 39 ii) Accountable Officer of the Health Board 40 iii) of the Accounts 41 i…,2,PERFORMANCE REPORT,Financial narrative,False
Grampian-2022-2023:p0003_000,11.84278,5.073239,PERFORMANCE REPORT,"PERFORMANCE REPORT A OVERVIEW 1. Purpose This Overview aims to provide the reader with sufficient information to understand the purpose of the NHS Grampian, the key risks to the achievement of its objectives and how it…",3,PERFORMANCE REPORT,Clinical performance,False
Grampian-2022-2023:p0003_001,11.8178835,5.2106633,PERFORMANCE REPORT,"everything that people in communities across Grampian have done and continue to do to support each other and NHS Grampian and all those providing care services on our behalf. We are also thankful for the patience, kind…",3,PERFORMANCE REPORT,Clinical performance,False
Grampian-2022-2023:p0003_002,11.552593,5.17638,PERFORMANCE REPORT,"support our care homes, local authorities, our national health services colleagues and local resilience partnership members. Our whole system co-ordination and collaboration, along with the strength of our local Health…",3,PERFORMANCE REPORT,Clinical performance,False
Grampian-2022-2023:p0004_000,11.665344,5.2039585,PERFORMANCE REPORT,"PERFORMANCE REPORT A OVERVIEW 19 and transforming our services in support of the delivery of safe, high quality, person- centred and sustainable health services over the next five years and beyond. Despite the challenge…",4,PERFORMANCE REPORT,Clinical performance,False
Grampian-2022-2023:p0004_001,11.720309,5.0571384,PERFORMANCE REPORT,we have already made will provide a greater level of care in our communities and build on the excellent foundations established through the integration of health and social care. Our operational performance has been imp…,4,PERFORMANCE REPORT,Clinical performance,False
Grampian-2022-2023:p0004_002,11.637046,4.884913,PERFORMANCE REPORT,"how we make sustainable services and pathways of care. During this period of preparing for the future your input and support will be important, and I would thank you in advance for working with colleagues and services a…",4,PERFORMANCE REPORT,Clinical performance,False
Grampian-2022-2023:p0005_000,10.763028,4.1083164,PERFORMANCE REPORT,"PERFORMANCE REPORT A OVERVIEW 3. Background and Principal Activities Grampian Health Board is responsible for leading efforts to improve the health of the people in Grampian, and for providing the health care services t…",5,PERFORMANCE REPORT,Governance,False
Grampian-2022-2023:p0005_001,10.695045,3.5371797,PERFORMANCE REPORT,operating model aimed at strengthening integration between hospital and community based services was introduced in shadow form in April 2021 and subsequently endorsed by the Board in August 2021. Services are delivered…,5,PERFORMANCE REPORT,Governance,False
Grampian-2022-2023:p0006_000,11.638505,4.735946,PERFORMANCE REPORT,"PERFORMANCE REPORT A OVERVIEW 4. Stabilisation, Living with COVID and Creating Conditions for Change Over the last three years the organisation, like other organisations have continued to respond to COVID-19, have taken…",6,PERFORMANCE REPORT,Clinical performance,False
Grampian-2022-2023:p0006_001,11.50922,4.4846244,PERFORMANCE REPORT,"Board has deliberately focused on three specific objectives, underpinned by a number of priority actions. The priorities aim to make the biggest impact in relation to stabilisation, navigating winter well and creating t…",6,PERFORMANCE REPORT,Governance,False
Grampian-2022-2023:p0006_002,11.559412,4.9020395,PERFORMANCE REPORT,"protect Access - People are able to access the right care at the right time planned care 1. Reduce delays in Pathway Whole System Working - Joined up Urgent & unscheduled care s accessing care and connected, with and ar…",6,PERFORMANCE REPORT,Clinical performance,False
Grampian-2022-2023:p0007_000,13.017928,2.240629,PERFORMANCE REPORT,PERFORMANCE REPORT A OVERVIEW 5. Risk and Uncertainty During 2022/23 the Board has continued to manage our risks in a way that ensured the continued delivery of critical and protected clinical services and fulfilled the…,7,PERFORMANCE REPORT,Governance,False
Grampian-2022-2023:p0008_000,11.45101,4.4056487,PERFORMANCE REPORT,"PERFORMANCE REPORT B PERFORMANCE ANALYSIS 1. Delivering the Plan for the Future As outlined above, our approach to delivering the ambitions set out in the Plan for the Future is focussed on three pillars (People, Places…",8,PERFORMANCE REPORT,Clinical performance,False
Grampian-2022-2023:p0008_001,11.349694,4.658513,PERFORMANCE REPORT,focus on communities and environment) Performance and assurance reporting has been further developed during 2022 to ensure better alignment against the Plan for the Future and the Delivery Plan. This has consisted of: Q…,8,PERFORMANCE REPORT,Governance,False
Grampian-2022-2023:p0009_000,10.755264,5.1415954,PERFORMANCE REPORT,"PERFORMANCE REPORT B PERFORMANCE ANALYSIS The core values of the Board are caring, listening and improving. These values are embedded in everything we do in making the vision a reality. The continued impact of the COVID…",9,PERFORMANCE REPORT,Governance,False
Grampian-2022-2023:p0009_001,10.732513,4.9611964,PERFORMANCE REPORT,"place. Recognising the current operational and workforce challenges alongside growing financial pressures, the Scottish Government have clarified the areas of activity to be prioritised during the coming year as a phase…",9,PERFORMANCE REPORT,Financial narrative,False
Grampian-2022-2023:p0010_000,10.785229,4.9258227,PERFORMANCE REPORT,PERFORMANCE REPORT B PERFORMANCE ANALYSIS 2. Non-Financial Performance Summary 2.1 Key National Treatment Targets The impact of these emergency measures on the key national treatment targets is summarised below: Attenda…,10,PERFORMANCE REPORT,Financial narrative,False
Grampian-2022-2023:p0011_000,10.917986,5.048172,PERFORMANCE REPORT,PERFORMANCE REPORT B PERFORMANCE ANALYSIS The pressures on Emergency Departments (ED) during the year continue to be well publicised across the NHS in Scotland and the UK. Our local analysis suggests that the ED perform…,11,PERFORMANCE REPORT,Clinical performance,False
