id,x,y,label,text,page,section,category,highlight
Shetland-2016-2017:p0002_000,8.0454035,8.290275,Unknown,INDEX PERFORMANCE REPORT .........c:ccccccsecsccusessudensenecsessessettenssersennensurereanseeersgserenss 1-10 ACCOUNTABILITY REPORD oii icsisccacseiaveadvasd cares sbesaisedsae segesarandesensadanepsnen pEaEe) 11-31 A…,2,Unknown,Governance,False
Shetland-2016-2017:p0002_001,8.059377,8.583302,Unknown,INCOME 1.05. ovisaZecapcewsites ia amiaarsh cocieadacatves idaesoteaes scadaawesdaan sedecypis erasers 53 ANALYSIS OF CAPITAL EXPENDITURE ...........:::ccceceeceeeeeeeeenee esses eeeeeeneeaeneeees 53-54 INTANGIBLE ASSET…,2,Unknown,Financial narrative,False
Shetland-2016-2017:p0002_002,8.113057,8.386094,Unknown,EVENTS AFTER THE END OF THE REPORTING PERIOD ...............cccccccscsce ee eeee sees 66 COMMITTMENT Siiiiassicisi vines str qicawnsvicn eedand paece tran yhteedieg apiea ed hci egal san veeredidinesene tevaseyaa a 67 C…,2,Unknown,Strategy / narrative,False
Shetland-2016-2017:p0003_000,3.1580176,5.536333,PERFORMANCE REPORT,ANNUAL ACCOUNTS AND NOTES FOR YEAR ENDED 31 MARCH 2017 PERFORMANCE REPORT i. Chief Executive Statement 2016/17 has been a year of further change and challenge for NHS Shetland. While remaining focused on continuing to d…,3,PERFORMANCE REPORT,Financial narrative,False
Shetland-2016-2017:p0003_001,3.1177616,5.4173903,PERFORMANCE REPORT,"including actions to support more individuals in the community, although I recognise that there is more work to be done. Therefore, while we have again balanced our budget and delivered more than £4m in savings, over £2…",3,PERFORMANCE REPORT,Financial narrative,False
Shetland-2016-2017:p0003_002,3.0544145,5.295855,PERFORMANCE REPORT,objectives and how it has performed during the year. NHS Shetland was established under the National Health Service (Scotland) Act 1978 and is responsible for commissioning and providing healthcare services for the resi…,3,PERFORMANCE REPORT,Clinical performance,False
Shetland-2016-2017:p0003_003,2.8033936,5.459961,PERFORMANCE REPORT,"Objectives to: e improve and protect the health of the people of Shetland e provide quality, effective and safe services, delivered in the most appropriate setting for the patient e continuously redesign services where…",3,PERFORMANCE REPORT,Clinical performance,False
Shetland-2016-2017:p0004_000,3.0125349,5.7467637,PERFORMANCE REPORT,"A range of work has been progressed to improve the quality of service provided. This included work in individual clinical services, the provision of services for older people and primary care and the development of arra…",4,PERFORMANCE REPORT,Clinical performance,False
Shetland-2016-2017:p0004_001,3.292141,5.732158,PERFORMANCE REPORT,"Travel, Mental Health and Health & Social Care Integration). Additional programme management capacity was used to support this work and this will also be required in 2017/18. During 2016/17 NHS Shetland has worked close…",4,PERFORMANCE REPORT,Clinical performance,False
Shetland-2016-2017:p0004_003,3.4447212,5.801372,PERFORMANCE REPORT,"The IJB is required to have regard to the national health & wellbeing outcomes, the integration delivery principles, and the needs of localities within Shetland. This represents a fundamental change to how the delegated…",4,PERFORMANCE REPORT,Clinical performance,False
Shetland-2016-2017:p0004_005,3.0706434,6.030458,PERFORMANCE REPORT,"full year of the IJB. The law required the NHS Board and the local authority to delegate certain functions to the extent that they are provided to people who are at least 18 years old, including adult social care, all a…",4,PERFORMANCE REPORT,Governance,False
Shetland-2016-2017:p0004_006,2.823001,6.031208,PERFORMANCE REPORT,"learning disability, palliative care, hospital services provided by GPs, mental health services provided in a hospital with exception of forensic mental health services, and services relating to an addiction or dependen…",4,PERFORMANCE REPORT,Clinical performance,False
Shetland-2016-2017:p0004_007,3.620079,5.9337783,PERFORMANCE REPORT,not been delegated to IJB. Further information on health & social care integration can be accessed through the link below: http://www.shetland.gov.uk/Health Social Care Integration/default.asp Page 2,4,PERFORMANCE REPORT,Clinical performance,False
Shetland-2016-2017:p0005_000,2.8377795,5.6803565,E COMMUNITY HEALTH AND SOCIAL CARE SERVICES,3. Risk and Uncertainty The Board’s Local Delivery Plan (LDP) summarises the key risks facing NHS Shetland in future years and the actions to take to mitigate these. The LDP this year focuses on improvement and delivery…,5,E COMMUNITY HEALTH AND SOCIAL CARE SERVICES,Governance,False
Shetland-2016-2017:p0005_001,2.7960873,5.835194,E COMMUNITY HEALTH AND SOCIAL CARE SERVICES,"Shetland faces particular challenges associated with the sustainability of services and the recruitment and retention of staff, who often work in small teams or single-handed and often in remote and rural areas. Key ide…",5,E COMMUNITY HEALTH AND SOCIAL CARE SERVICES,Strategy / narrative,False
Shetland-2016-2017:p0005_002,2.75432,5.9460745,E COMMUNITY HEALTH AND SOCIAL CARE SERVICES,"Shetland, with clear links to care resources the 7 locality areas and the Gilbert Bain Hospital Developing a sustainable model for Developing a sustainable model for mental health services, including adults affected by…",5,E COMMUNITY HEALTH AND SOCIAL CARE SERVICES,Strategy / narrative,False
Shetland-2016-2017:table_ocr_p0006,7.394214,7.6027417,THE SCOTTISH GOVERNMENT HEALTH AND SOCIAL CARE DIRECTORATE CONTINUE TO SET THREE FINANCIAL,TABLE_TYPE: financial_core_net_expenditure PAGE: 6 ROTATION: 0 Moving forward the Board will continue to build on the many positive changes and initiatives achieved in recent years and will strengthen partnerships with…,6,THE SCOTTISH GOVERNMENT HEALTH AND SOCIAL CARE DIRECTORATE CONTINUE TO SET THREE FINANCIAL,Financial table,False
Shetland-2016-2017:p0007_000,7.618137,8.147658,CAPITAL RESOURCE LIMIT,The ongoing risk associated with the delivery of the plan has been logged within the Board's corporate risk register. http ://www.shb.scot.nhs.uk/board/riskmanagement.as Capital Resource Limit The summary figures highli…,7,CAPITAL RESOURCE LIMIT,Governance,False
Shetland-2016-2017:p0007_001,7.702041,8.391527,CAPITAL RESOURCE LIMIT,"£88k, Primary Care Digital Transformation £34k and other IT Infrastructure £39k, Gilbert Bain Hospital, Plant 101 36 and Equipment Health Centres, Plant and Equipment Gross Additions Total Financed by Asset Sold Return…",7,CAPITAL RESOURCE LIMIT,Strategy / narrative,False
Shetland-2016-2017:p0007_002,7.695013,6.4940495,CAPITAL RESOURCE LIMIT,"£5,997k which is a change of £1,322k from the previous year’s value of £4,675k. At the year end the Board carried three provisions totalling £1,613k for future liabilities: 1. £261k relating to estimated future liabilit…",7,CAPITAL RESOURCE LIMIT,Governance,False
Shetland-2016-2017:p0008_000,2.104921,5.301823,WAITING TIMES TARGETS — SECONDARY CARE,"5. Performance against Key Non-Financial Targets Waiting Times Targets — Secondary Care During 2016/17 the Board maintained its comparatively strong performance on waiting times for inpatients and day cases, However the…",8,WAITING TIMES TARGETS — SECONDARY CARE,Financial narrative,False
Shetland-2016-2017:p0008_001,2.1804545,5.297122,WAITING TIMES TARGETS — SECONDARY CARE,"in respect of new out-patients there was 179 patients waiting longer than 26 weeks for their first appointment. These were in four specialities Dermatology (89 cases), Ear Nose and Throat (ENT) (84 cases), Orthopaedic l…",8,WAITING TIMES TARGETS — SECONDARY CARE,Clinical performance,False
Shetland-2016-2017:p0008_002,2.146684,5.3523974,WAITING TIMES TARGETS — SECONDARY CARE,all twelve months and 100% for the 62 Day Pathway in nine out of twelve months. There were less than five breaches in the 62 Day Pathway. The delivery of waiting times targets has been supported by our Performance Manag…,8,WAITING TIMES TARGETS — SECONDARY CARE,Clinical performance,False
Shetland-2016-2017:p0008_003,2.10351,5.247153,WAITING TIMES TARGETS — SECONDARY CARE,to a ward within four hours with performance only below 95.0% in two months. The Board actively reviews breaches of this target and has a process in place to escalate cases when a patient is about to breach. The Board h…,8,WAITING TIMES TARGETS — SECONDARY CARE,Governance,False
Shetland-2016-2017:p0008_004,2.1079116,5.320906,WAITING TIMES TARGETS — SECONDARY CARE,Work input to support the hospital and the development of an Intermediate care team using funding from the Integration fund. This has resulted in a drop of 4.6% in the number of days occupied by patients delayed in hosp…,8,WAITING TIMES TARGETS — SECONDARY CARE,Clinical performance,False
Shetland-2016-2017:p0009_000,2.5618005,6.0147314,PRIMARY CARE,Primary Care All practices continued to meet the 48-hour access target in 2016/17. At Lerwick Health Centre plans created jointly with the patient participation forum and introduced in April 2015 saw improved access del…,9,PRIMARY CARE,Clinical performance,False
Shetland-2016-2017:p0009_001,2.5862548,6.046053,PRIMARY CARE,on island with a Consultant Clinical Psychologist appointment. Our performance against access to Psychological Therapies within 18 weeks of referral overall at 79% is below target. There are a small number of patients (…,9,PRIMARY CARE,Clinical performance,False
Shetland-2016-2017:p0009_002,2.1787171,5.9241085,PRIMARY CARE,service achieved 100% compliance with the target. This reflects both the commitment of staff and the impact of the additional investment originally made during 2015-16 from the Mental Health Innovation Fund. We recognis…,9,PRIMARY CARE,Strategy / narrative,False
Shetland-2016-2017:p0009_003,1.8186898,5.954162,PRIMARY CARE,"years, down from 78; and for women it was 81.9 years, down from 82.45. Neither have reached the ambitious local targets of 79.2 and 86.2 years. Life expectancy is still better than many other parts of Scotland but there…",9,PRIMARY CARE,Strategy / narrative,False
Shetland-2016-2017:p0009_004,1.9183742,6.0761127,PRIMARY CARE,"last year, despite reduced resources within the Health Improvement Team (which delivers most of the smoking cessation interventions) and the fact that the people who are now smoking are those that find it the hardest to…",9,PRIMARY CARE,Strategy / narrative,False
Shetland-2016-2017:p0010_000,1.9538735,6.0511675,PRIMARY CARE,"and a local target of 500 / 100,000. However it is anticipated that the considerable work carried out in 2016-17 to prevent harm relating to substance misuse, including work with the local Licensing Board and a redesign…",10,PRIMARY CARE,Governance,False
Shetland-2016-2017:p0010_001,1.8754236,5.911678,PRIMARY CARE,"completed 252 health checks. Early years: The most recent available figures show that we met the target of 80% of pregnant women in each Scottish Index of Multiple Deprivation (SIMD) centile booking by 12 weeks, with 82…",10,PRIMARY CARE,Strategy / narrative,False
Shetland-2016-2017:p0010_002,1.8811862,5.9769073,PRIMARY CARE,"pre-school years. Suicide: Suicide still remains a significant area of concern although the most recent available figures show a sustained reduction from 21.55 per 100,000 population in 2013 to 19.9 in 2016 (5 year roll…",10,PRIMARY CARE,Strategy / narrative,False
Shetland-2016-2017:p0010_003,1.8174971,5.9813347,PRIMARY CARE,screening (2014-15) slightly below the target of 80% e 84.4% for breast screening (3 yr rolling average 2013-16) above the target of 80%. Immunisation: The most recent immunisation rates show uptake for the calendar yea…,10,PRIMARY CARE,Strategy / narrative,False
Shetland-2016-2017:p0010_004,2.095421,5.8435655,PRIMARY CARE,"flu vaccine are not yet available, but the unpublished figures suggest that for adults, most of the rates are lower than last year (which is the same across Scotland). Shetland has slightly higher rates than the Scottis…",10,PRIMARY CARE,Strategy / narrative,False
Shetland-2016-2017:p0011_000,3.0133872,4.7067566,INFECTION CONTROL,violence; early years; black and minority ethnic group needs assessment; mental health issues and community justice. Infection Control Healthcare Associated Infection (HAI) reports are routinely on the Board agenda. Wor…,11,INFECTION CONTROL,Governance,False
Shetland-2016-2017:p0011_001,3.053308,4.6837707,INFECTION CONTROL,"local rate for C Diff in 2016 was 0.085 per 1,000 occupied bed days case reported during this period. This is lower than the local rate for C Diff in 2015 at 0.44 per 1,000 occupied bed days. There has only been one cas…",11,INFECTION CONTROL,Strategy / narrative,False
Shetland-2016-2017:p0011_002,3.2225149,4.6820893,INFECTION CONTROL,amount of procedures undertaken in comparison to larger boards. Overall the data demonstrates a high standard of infection prevention and control in place in NHS Shetland with a strong audit programme to demonstrate com…,11,INFECTION CONTROL,Governance,False
Shetland-2016-2017:p0011_003,3.2249913,4.6889343,INFECTION CONTROL,"sustainability reports. Further information on the Act, along with copies of prior year national reports, can be found at the following resource: network/climate- change-reporting/ The Board is committed to sustainabili…",11,INFECTION CONTROL,Governance,False
Shetland-2016-2017:p0012_000,3.3765717,4.5070505,INFECTION CONTROL,The Board continues to develop its Carbon Management plan. We work closely with Health Facilities Scotland (HFS) to provide additional technical expertise and to review options for renewable energy. The boards level of…,12,INFECTION CONTROL,Governance,False
Shetland-2016-2017:p0013_000,5.802984,4.6459284,ACCOUNTABILITY REPORT,"THE ACCOUNTABILITY REPORT CORPORATE GOVERNANCE REPORT DIRECTORS’ REPORT 8. Date of Issue The Accounting Officer authorised these audited financial statements for issue on 23 June 2017. 9, Appointment of auditors The Pub…",13,ACCOUNTABILITY REPORT,Financial narrative,False
Shetland-2016-2017:p0013_001,5.644065,5.9868655,ACCOUNTABILITY REPORT,Board. Members of Health Boards are selected on the basis of their position or the particular expertise that enables them to contribute to the functions and decision-making process at a strategic level and reflects the…,13,ACCOUNTABILITY REPORT,Governance,False
