id,x,y,label,text,page,section,category,highlight
Shetland-2015-2016:p0002_000,7.633972,4.33144,PERFORMANCE REPORT,INDEX PERFORMANCE REPORT ccsesscsessssessscsstssstesecsveescesnscenessessecsssensesssecneertearsssasessens LOT ACCOUNTABILITY REPORT .....cccccccsscessesssseeeseeeeeeeeenenenssseseanenenanecenenenenens sage .. 8-26 AUDI…,2,PERFORMANCE REPORT,Governance,False
Shetland-2015-2016:p0002_001,7.218678,4.422162,PERFORMANCE REPORT,NEGLIGENCE AND OTHER RISKS INDEMITY SCHEME............:.-.....62°63 MOVEMENT IN WORKING CAPITAL .....-.sscesssetsieteeetsiesss serctecernseaet secneteneteeneenseeees 63 CONTINGENT LIABILITIES.....cs.ccssesscessessessees…,2,PERFORMANCE REPORT,Clinical performance,False
Shetland-2015-2016:p0003_000,2.6108816,6.7461643,PERFORMANCE REPORT,"ANNUAL ACCOUNTS AND NOTES FOR YEAR ENDED 31 MARCH 2016 PERFORMANCE REPORT 1. Overview , , NHS Shetland was established under the National Health Service (Scotland) Act 1978 and is responsible for commissioning and provi…",3,PERFORMANCE REPORT,Financial narrative,False
Shetland-2015-2016:p0003_001,2.6615407,6.775637,PERFORMANCE REPORT,"work of the Board has focused on the delivery of the agreed key Corporate Objectives to: ’ » . improve and protect the health of the people of Shetland . e provide quality, effective and safe services, delivered in the…",3,PERFORMANCE REPORT,Governance,False
Shetland-2015-2016:p0003_002,2.817708,6.52253,PERFORMANCE REPORT,‘and the development.of arrangements to reflect Health & Social Care - integration. The Board has continued to focus on using feedback from patients and their families or carers and learning from incidents and adverse e…,3,PERFORMANCE REPORT,Governance,False
Shetland-2015-2016:p0003_003,2.8050668,6.4581265,PERFORMANCE REPORT,the Public Partnership Forum (PPF) the action plan to improve access to primary care services at Lerwick Health Centre was implemented. — This included an Advanced Nurse Practitioner service supporting the General Pract…,3,PERFORMANCE REPORT,Clinical performance,False
Shetland-2015-2016:p0004_001,3.1383824,5.8854213,PERFORMANCE REPORT,and the IJB is wholly responsible for carrying out those functions. The JB did so by preparing a strategic plan and then directing the NHS Board and the local authority as to how those functions were to be carried out.,4,PERFORMANCE REPORT,Governance,False
Shetland-2015-2016:p0004_002,3.2159033,6.1368465,PERFORMANCE REPORT,"The IJB is required to have regard to the national health & wellbeing outcomes, the integration delivery principles, and the needs of localities. within the local authority area. This represents a fundamental change to…",4,PERFORMANCE REPORT,Clinical performance,False
Shetland-2015-2016:p0004_003,3.29403,6.324804,PERFORMANCE REPORT,The IJB became responsible for the integration functions on 20 November 2015. The law required the NHS Board and the local. authority to delegate certain functions to the extent that they are provided to people who are…,4,PERFORMANCE REPORT,Governance,False
Shetland-2015-2016:p0004_004,3.2146473,6.561268,PERFORMANCE REPORT,"medicine, geriatric medicine, rehabilitation medicine, respiratory medicine, psychiatry of learning disability, palliative care, hospital services provided by GPs, mental health services provided in a hospital with exce…",4,PERFORMANCE REPORT,Clinical performance,False
