level,title_raw,title_norm,start_printed_page,start_pdf_page,confidence
1,Performance Report,performance report,2,1,0.6
2,a) Overview,a overview,7,1,0.6
2,a) Corporate Governance Report,a corporate governance report,34,1,0.6
3,i) Directors Report,i directors report,39,1,0.6
3,ii) Accountable Officer of the Health Board,ii accountable officer of the health board,40,1,0.6
3,iii) of the Accounts,iii of the accounts,41,1,0.6
2,b) Remuneration and Staff Report,b remuneration and staff report,64,3,0.6
3,i) Remuneration Report,i remuneration report,71,10,0.6
3,ii) Staff Report,ii staff report,79,18,0.6
1,Accountability Report,accountability report,80,19,0.6
1,Financial Statements,financial statements,85,24,0.6
2,Consolidated Statement of Comprehensive Net Expenditure,consolidated statement of comprehensive net expenditure,86,25,0.6
2,Consolidated Statement of Financial Position,consolidated statement of financial position,88,27,0.6
2,Consolidated Cash Flow Statement,consolidated cash flow statement,89,28,0.6
2,Consolidated Statement of Changes in Taxpayer s Equity,consolidated statement of changes in taxpayer s equity,90,29,0.6
2,Notes to the Accounts,notes to the accounts,152,91,0.6
