query_id,hit_at_1_a,hit_at_1_b,delta_hit_at_1_a_minus_b,hit_at_3_a,hit_at_3_b,delta_hit_at_3_a_minus_b,mrr_a,mrr_b,delta_mrr_a_minus_b
Q_2025_AE_01,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.5,-0.5
Q_2025_AE_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_AE_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_AE_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_AE_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_DEL_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_DEL_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_DEL_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_DEL_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_DEL_P1,0.0,1.0,-1.0,1.0,1.0,0.0,0.5,1.0,-0.5
Q_2025_ESC_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_ESC_02,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0
Q_2025_ESC_P1,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0
Q_2025_ESC_P2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
Q_2025_FIN_01,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
Q_2025_FIN_02,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0
Q_2025_FIN_03,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
Q_2025_FIN_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_FIN_05,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_FIN_06,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
Q_2025_FIN_07,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_FIN_08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q_2025_FIN_09,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_FIN_10,0.0,1.0,-1.0,1.0,1.0,0.0,0.5,1.0,-0.5
Q_2025_FIN_11,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
Q_2025_FIN_12,0.0,1.0,-1.0,0.0,1.0,-1.0,0.1111111111111111,1.0,-0.8888888888888888
Q_2025_FIN_13,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2,0.8
Q_2025_FIN_17,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
Q_2025_FIN_18,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_FIN_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_FIN_P2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_FIN_P3,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_GOPES_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_GOV_01,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0
Q_2025_GOV_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_IJB_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_IJB_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_IJB_03,0.0,1.0,-1.0,1.0,1.0,0.0,0.5,1.0,-0.5
Q_2025_IJB_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_IJB_05,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_IJB_06,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.5,-0.16666666666666669
Q_2025_IJB_P1,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.5,-0.5
Q_2025_PLAN_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_SAV_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q_2025_SAV_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q_2025_SAV_03,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0
Q_2025_SAV_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_SAV_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Q_2025_SAV_P2,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.25,0.08333333333333331
Q_2025_STR_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
